               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.026577,           0.0052056,           0.0032329,             0.97077,              0.9798,              0.9811,             0.75316,            0.023268,           0.0031643,           0.0023018,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027346,           0.0054247,           0.0033188,             0.99708,             0.98113,             0.98907,             0.63485,            0.024457,           0.0032065,            0.002367,            0.006238,            0.006238,            0.006238
                  78,            0.027631,           0.0053544,           0.0039493,             0.99794,             0.98113,             0.98066,             0.75417,            0.021654,           0.0030998,           0.0022261,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024039,           0.0050718,           0.0031404,             0.96465,             0.98113,             0.98049,             0.67009,            0.024872,           0.0031288,           0.0019788,            0.006139,            0.006139,            0.006139
                  80,            0.028735,           0.0057906,           0.0030801,             0.94537,             0.98113,             0.98781,             0.70149,            0.025503,           0.0030549,           0.0018188,           0.0060895,           0.0060895,           0.0060895
                  81,            0.028292,           0.0054816,           0.0027585,             0.99693,             0.98113,             0.98033,              0.7153,            0.023174,           0.0030635,           0.0018533,             0.00604,             0.00604,             0.00604
                  82,            0.026877,           0.0056155,           0.0029408,              0.9969,             0.98113,             0.98088,              0.7377,            0.022274,           0.0030764,           0.0018869,           0.0059905,           0.0059905,           0.0059905
                  83,            0.026434,           0.0052689,           0.0026182,             0.99552,             0.98113,              0.9819,             0.73326,            0.019983,           0.0030631,           0.0018795,            0.005941,            0.005941,            0.005941
                  84,             0.02426,           0.0049644,           0.0031193,             0.96869,             0.98113,             0.97568,             0.72796,              0.0237,           0.0030874,           0.0018907,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024351,           0.0058461,           0.0025804,             0.96651,             0.98113,              0.9814,             0.66319,            0.026788,           0.0031234,           0.0017111,            0.005842,            0.005842,            0.005842
                  86,            0.026598,           0.0054796,           0.0021663,             0.99108,             0.98113,             0.98164,              0.7605,            0.024874,           0.0030507,           0.0014778,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025993,           0.0051924,           0.0020352,             0.99682,             0.98113,             0.98998,             0.79325,            0.018074,           0.0029217,           0.0013432,            0.005743,            0.005743,            0.005743
                  88,            0.022017,           0.0048475,            0.002209,             0.87368,             0.97179,              0.9274,             0.59073,            0.025407,           0.0031276,           0.0011501,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027013,           0.0049627,           0.0017344,             0.99007,             0.98113,             0.98124,             0.75044,            0.019945,           0.0029475,            0.001141,            0.005644,            0.005644,            0.005644
                  90,            0.025479,           0.0055935,           0.0016817,             0.99668,             0.98275,             0.99019,             0.79187,            0.021487,           0.0029867,           0.0011468,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022448,           0.0058405,           0.0023912,             0.97093,             0.97133,             0.98808,             0.69886,            0.021603,           0.0029889,           0.0011705,            0.005545,            0.005545,            0.005545
                  92,            0.023918,           0.0049923,           0.0017256,             0.99537,             0.99057,             0.99072,             0.79425,            0.020637,           0.0029566,           0.0012293,           0.0054955,           0.0054955,           0.0054955
                  93,            0.024182,           0.0050116,           0.0019322,             0.99573,             0.98113,             0.98067,             0.75621,            0.019884,            0.002913,           0.0012702,            0.005446,            0.005446,            0.005446
                  94,            0.021776,           0.0051032,           0.0021384,             0.97838,             0.98113,             0.98803,             0.72343,            0.024129,           0.0029549,           0.0013518,           0.0053965,           0.0053965,           0.0053965
                  95,            0.023828,           0.0053016,           0.0019924,             0.98715,             0.98113,             0.98178,             0.70179,             0.02667,           0.0029686,           0.0013039,            0.005347,            0.005347,            0.005347
                  96,            0.026153,           0.0058629,            0.002026,             0.99718,             0.98113,             0.99022,             0.76294,            0.019798,            0.002957,           0.0013414,           0.0052975,           0.0052975,           0.0052975
